time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-02-21T08:43:08.350Z,19.1458,-66.4783,28,3.22,md,13,287,0.6707,0.26,pr,pr2021052003,2021-02-21T09:08:22.558Z,"75 km N of Tierras Nuevas Poniente, Puerto Rico",earthquake,1.11,9.86,0.1,10,reviewed,pr,pr
2021-02-21T08:23:38.672Z,47.008,-66.5679,8.27,2.5,ml,,62,0.438,0.52,us,us6000djuv,2021-02-22T22:15:45.745Z,"81 km W of Miramichi, Canada",earthquake,2.9,7.3,0.064,32,reviewed,us,us
2021-02-21T07:47:34.550Z,17.9166,-66.8418,11,2.77,md,22,201,0.0694,0.16,pr,pr2021052002,2021-02-21T08:24:53.601Z,"Puerto Rico region",earthquake,0.54,0.37,0.23,12,reviewed,pr,pr
2021-02-21T07:16:28.910Z,18.5446,-67.5796,14,3.2,md,20,186,0.189,0.32,pr,pr2021052001,2021-02-21T07:51:56.980Z,"41 km WNW of Rincón, Puerto Rico",earthquake,1.42,0.71,0.09,17,reviewed,pr,pr
2021-02-21T05:23:28.727Z,31.668,-104.3898,5,2.5,ml,,72,0.094,0.38,us,us6000djtl,2021-02-21T05:45:23.040Z,"56 km S of Whites City, New Mexico",earthquake,1.1,1.9,0.074,42,reviewed,us,us
2021-02-21T05:01:10.106Z,-2.0953,68.2032,10,4.9,mb,,51,5.436,0.46,us,us6000djti,2021-02-21T05:26:18.040Z,"Carlsberg Ridge",earthquake,9.4,1.9,0.072,61,reviewed,us,us
2021-02-21T03:10:59.830Z,40.4498333,-125.9536667,14.05,3,ml,34,278,1.233,0.24,nc,nc73525776,2021-02-22T22:28:05.382Z,"142km W of Petrolia, CA",earthquake,5.26,7.14,0.08,7,reviewed,nc,nc
2021-02-21T02:23:01.326Z,38.1872,-118.0756,10,2.7,ml,,49,0.234,0.84,us,us6000djsz,2021-02-21T02:34:36.040Z,"22 km S of Mina, Nevada",earthquake,2.4,2,0.039,85,reviewed,us,us
2021-02-21T01:37:08.874Z,52.3399,97.357,15.1,5.1,mb,,48,3.94,0.86,us,us6000djst,2021-02-21T04:39:22.815Z,"85 km E of Toora-Khem, Russia",earthquake,7.8,4.2,0.035,274,reviewed,us,us
2021-02-21T01:24:49.210Z,36.1588333,-118.0698333,2.37,2.5,ml,30,77,0.1041,0.13,ci,ci39796248,2021-02-22T19:47:00.140Z,"15km SSW of Olancha, CA",earthquake,0.17,0.41,0.181,57,reviewed,ci,ci
